"","time_step","low_marsh_area","high_marsh_area","total_marsh_area","upland_extent","marsh_encroach_area","fiddler_crabs","sea_level_rise"
"1",1,7000,33000,40000,2400,0,1,2.8326
"2",1.25,6993.935902,33008.53804,40002.47395,2399.89645,0.103550349,1.08642,2.83325
"3",1.5,6987.922858,33017.02702,40004.94988,2399.792866,0.203454177,1.181106233,2.8339
"4",1.75,6981.960881,33025.46684,40007.42772,2399.689249,0.29983928,1.284995098,2.83455
"5",2,6976.049989,33033.85744,40009.90743,2399.585598,0.392829006,1.399156305,2.8352
"6",2.25,6970.190203,33042.19873,40012.38893,2399.481915,0.482542407,1.524817095,2.83585
"7",2.5,6964.38155,33050.49064,40014.87219,2399.378198,0.569094391,1.663391913,2.8365
"8",2.75,6958.624065,33058.73312,40017.35719,2399.274447,0.652595866,1.81651907,2.83715
"9",3,6952.917788,33066.92609,40019.84388,2399.170663,0.733153872,1.986106331,2.8378
"10",3.25,6947.262771,33075.06951,40022.33228,2399.066846,0.810871722,2.172498728,2.83845
"11",3.5,6941.659063,33083.16331,40024.82237,2398.962996,0.885849126,2.377530691,2.8391
"12",3.75,6936.106727,33091.20745,40027.31417,2398.859112,0.958182319,2.60329353,2.83975
"13",4,6930.605829,33099.20187,40029.8077,2398.755195,1.027964179,2.852158834,2.8404
"14",4.25,6925.156452,33107.14655,40032.303,2398.651244,1.095284343,3.126678336,2.84105
"15",4.5,6919.758681,33115.04143,40034.80011,2398.547261,1.160229323,3.429697433,2.8417
"16",4.75,6914.412551,33122.88647,40037.29903,2398.443244,1.22288261,3.764598359,2.84235
"17",5,6909.118173,33130.68166,40039.79983,2398.339193,1.28332478,4.135265813,2.843
"18",5.25,6903.875679,33138.42695,40042.30263,2398.23511,1.341633595,4.546181234,2.84365
"19",5.5,6898.685218,33146.12232,40044.80754,2398.130993,1.397884103,5.002498997,2.8443
"20",5.75,6893.54696,33153.76775,40047.31471,2398.026843,1.452148729,5.508894117,2.844918416
"21",6,6888.458895,33161.36541,40049.82431,2397.922661,1.504496148,6.071897867,2.845452607
"22",6.25,6883.415365,33168.92116,40052.33652,2397.818453,1.554990714,6.700242794,2.845986798
"23",6.5,6878.416543,33176.43496,40054.85151,2397.714218,1.603697831,7.398011059,2.846520989
"24",6.75,6873.46267,33183.90681,40057.36948,2397.609957,1.650680608,8.159637417,2.84705518
"25",7,6868.553989,33191.33669,40059.89068,2397.505669,1.695999938,8.94139596,2.847571324
"26",7.25,6863.689295,33198.72583,40062.41512,2397.401356,1.739713939,9.713640474,2.848080699
"27",7.5,6858.868262,33206.07469,40064.94295,2397.297017,1.781879111,10.44493495,2.848590074
"28",7.75,6854.090861,33213.38327,40067.47413,2397.192654,1.822550212,11.14320624,2.849099449
"29",8,6849.356901,33220.65155,40070.00845,2397.088265,1.861780072,11.80974027,2.849608824
"30",8.25,6844.666197,33227.87952,40072.54571,2396.983852,1.899619663,12.42587572,2.850118199
"31",8.5,6840.018495,33235.06717,40075.08567,2396.879413,1.936118166,13.0418044,2.850627574
"32",8.75,6835.414684,33242.21451,40077.6292,2396.77495,1.971323028,13.66308047,2.851136949
"33",9,6830.854765,33249.32153,40080.17629,2396.670461,2.00528003,14.29568464,2.851646324
"34",9.25,6826.338778,33256.38822,40082.727,2396.565947,2.038033337,14.94501849,2.852155699
"35",9.5,6821.866795,33263.41459,40085.28138,2396.461408,2.069625562,15.6056061,2.852665074
"36",9.75,6817.439075,33270.40063,40087.83971,2396.356844,2.100097818,16.27380509,2.853174449
"37",10,6813.057079,33277.34637,40090.40344,2396.252256,2.129489766,16.95122882,2.853683824
"38",10.25,6808.720849,33284.25179,40092.97264,2396.147642,2.157839675,17.63256864,2.854193199
"39",10.5,6804.430385,33291.11691,40095.54729,2396.043003,2.18518446,18.31527996,2.854702574
"40",10.75,6800.185661,33297.94174,40098.1274,2395.938339,2.21155974,18.9968993,2.855211949
"41",11,6795.987873,33304.7263,40100.71417,2395.83365,2.236999875,19.67346466,2.855721324
"42",11.25,6791.837925,33311.47059,40103.30851,2395.728935,2.261538014,20.34468976,2.856230699
"43",11.5,6787.735714,33318.17463,40105.91035,2395.624196,2.285206138,21.01181261,2.856701029
"44",11.75,6783.678413,33324.84118,40108.51959,2395.519435,2.308034037,21.67687403,2.857138824
"45",12,6779.663677,33331.47253,40111.13621,2395.414652,2.330050663,22.34383959,2.857576618
"46",12.25,6775.693895,33338.06869,40113.76258,2395.309848,2.351284838,23.01973748,2.858014412
"47",12.5,6771.769348,33344.62968,40116.39903,2395.205024,2.371764367,23.70109967,2.858452206
"48",12.75,6767.890083,33351.15552,40119.04561,2395.100179,2.391516071,24.37871771,2.858850956
"49",13,6764.053256,33357.64898,40121.70223,2394.995315,2.410564815,25.0385038,2.859249706
"50",13.25,6760.259436,33364.11006,40124.36949,2394.890433,2.428935612,25.6819514,2.859648456
"51",13.5,6756.510147,33370.53879,40127.04894,2394.785532,2.446652587,26.3139745,2.860047206
"52",13.75,6752.805114,33376.9352,40129.74031,2394.680612,2.463739012,26.94303514,2.860445956
"53",14,6749.144232,33383.29931,40132.44354,2394.575674,2.480217332,27.58114286,2.860844706
"54",14.25,6745.527641,33389.63114,40135.15878,2394.470717,2.496109198,28.22971257,2.861243456
"55",14.5,6741.95681,33395.93072,40137.88753,2394.365742,2.511435492,28.88784304,2.861642206
"56",14.75,6738.433454,33402.19809,40140.63155,2394.260748,2.526216355,29.53816327,2.862040956
"57",15,6734.957332,33408.43327,40143.3906,2394.155736,2.540471215,30.18481592,2.862439706
"58",15.25,6731.528306,33414.6363,40146.16461,2394.050705,2.55421881,30.82261878,2.862838456
"59",15.5,6728.146111,33420.80721,40148.95332,2393.945656,2.567477213,31.43373871,2.863237206
"60",15.75,6724.811794,33426.94603,40151.75782,2393.840588,2.580263856,32.04123275,2.863635956
"61",16,6721.526128,33433.05279,40154.57892,2393.735502,2.592595551,32.65733386,2.864034706
"62",16.25,6718.289308,33439.12755,40157.41685,2393.630397,2.604488515,33.2978872,2.864433456
"63",16.5,6715.101985,33445.17032,40160.27231,2393.525273,2.615958389,33.93353965,2.864832206
"64",16.75,6711.963967,33451.18116,40163.14513,2393.420131,2.627020257,34.56111745,2.865230956
"65",17,6708.876796,33457.16011,40166.0369,2393.31497,2.637688668,35.18171402,2.865629706
"66",17.25,6705.841068,33463.10719,40168.94826,2393.209791,2.647977655,35.80552947,2.86600752
"67",17.5,6702.855362,33469.02394,40171.8793,2393.104595,2.657900286,36.42711476,2.866380682
"68",17.75,6699.919226,33474.91071,40174.82994,2392.999381,2.667469533,37.04010369,2.866753844
"69",18,6697.032324,33480.76756,40177.79988,2392.894151,2.676698012,37.62784558,2.867127005
"70",18.25,6694.195427,33486.59452,40180.78994,2392.788903,2.68559789,38.20931806,2.867492316
"71",18.5,6691.408557,33492.39218,40183.80074,2392.683639,2.69418073,38.79701624,2.867836691
"72",18.75,6688.67042,33498.16208,40186.8325,2392.57836,2.702457404,39.39868727,2.868181066
"73",19,6685.981482,33503.90424,40189.88572,2392.473065,2.710438854,40.00339904,2.868525441
"74",19.25,6683.341807,33509.61872,40192.96052,2392.367755,2.718135633,40.59997504,2.868869816
"75",19.5,6680.752155,33515.30555,40196.05771,2392.262429,2.725557917,41.21085609,2.869214191
"76",19.75,6678.21456,33520.9648,40199.17936,2392.157089,2.732715522,41.83668868,2.869558566
"77",20,6675.729587,33526.5965,40202.32609,2392.051732,2.73961791,42.47816368,2.869902941
"78",20.25,6673.29783,33532.2007,40205.49853,2391.946361,2.746274209,43.13586266,2.870247316
"79",20.5,6670.919904,33537.77747,40208.69737,2391.840974,2.752693221,43.81049214,2.870591691
"80",20.75,6668.598162,33543.32685,40211.92501,2391.735572,2.758883434,44.5029217,2.870936066
"81",21,6666.334836,33548.84889,40215.18373,2391.630154,2.764853032,45.21432984,2.871280441
"82",21.25,6664.13074,33554.34366,40218.4744,2391.524722,2.770609909,45.94549714,2.871624816
"83",21.5,6661.986722,33559.81122,40221.79794,2391.419273,2.776161678,46.69724744,2.871969191
"84",21.75,6659.904457,33565.25163,40225.15608,2391.31381,2.781515677,47.47072186,2.872313566
"85",22,6657.888276,33570.66495,40228.55322,2391.208331,2.786678987,48.26726286,2.872657941
"86",22.25,6655.939297,33576.05125,40231.99055,2391.102837,2.791658431,49.08803744,2.873002316
"87",22.5,6654.058698,33581.41061,40235.4693,2390.997328,2.796460594,49.93415812,2.873346691
"88",22.75,6652.249547,33586.74309,40238.99264,2390.891803,2.801091822,50.80706492,2.873690569
"89",23,6650.517018,33592.04882,40242.56583,2390.786263,2.805558226,51.70845225,2.874029471
"90",23.25,6648.862335,33597.32821,40246.19055,2390.680708,2.809865608,52.63976146,2.874368374
"91",23.5,6647.287153,33602.58137,40249.86853,2390.575138,2.814019666,53.60249592,2.874707277
"92",23.75,6645.800223,33607.80838,40253.6086,2390.469553,2.818025892,54.59865542,2.87504618
"93",24,6644.404658,33613.00933,40257.41399,2390.363953,2.821889582,55.63005587,2.875377919
"94",24.25,6643.102199,33618.18484,40261.28704,2390.258338,2.825615702,56.69858326,2.875703688
"95",24.5,6641.90369,33623.33543,40265.23912,2390.152709,2.829209065,57.80623364,2.876029457
"96",24.75,6640.814506,33628.46121,40269.27572,2390.047066,2.832674429,58.95516297,2.876355226
"97",25,6639.837722,33633.56233,40273.40005,2389.941409,2.836016384,60.14762633,2.876680995
"98",25.25,6638.992555,33638.63889,40277.63145,2389.835738,2.839239356,61.38540208,2.877006765
"99",25.5,6638.283128,33643.69107,40281.9742,2389.730052,2.842347611,62.67100778,2.877332534
"100",25.75,6637.723729,33648.71901,40286.44274,2389.624352,2.845345264,64.00624688,2.877658303
"101",26,6637.330995,33653.72289,40291.05389,2389.518638,2.848236282,65.39290086,2.877984072
"102",26.25,6637.114695,33658.70292,40295.81761,2389.41291,2.851024491,66.83325079,2.878309842
"103",26.5,6637.104677,33663.65929,40300.76397,2389.307168,2.853713578,68.32744111,2.878635611
"104",26.75,6637.308802,33668.59226,40305.90106,2389.201411,2.8563071,69.87789782,2.87896138
"105",27,6637.767163,33673.50208,40311.26924,2389.09564,2.858808486,71.48283899,2.879287149
"106",27.25,6638.490069,33678.38905,40316.87912,2388.989855,2.861221043,73.14351284,2.879612919
"107",27.5,6639.520056,33683.25349,40322.77355,2388.884056,2.863547958,74.85716564,2.879938688
"108",27.75,6640.872794,33688.09578,40328.96857,2388.778242,2.865792307,76.62338365,2.880264457
"109",28,6642.581989,33692.91629,40335.49828,2388.672415,2.867957052,78.43706158,2.880590226
"110",28.25,6644.661992,33697.71547,40342.37746,2388.566573,2.870045051,80.29520255,2.880915995
"111",28.5,6647.127635,33702.49375,40349.62139,2388.460717,2.87205906,82.1932267,2.881241444
"112",28.75,6649.961843,33707.25164,40357.21348,2388.354847,2.874001729,84.12507964,2.881566331
"113",29,6653.14545,33711.9896,40365.13505,2388.248963,2.875875609,86.0868685,2.881891218
"114",29.25,6656.59153,33716.70807,40373.2996,2388.143064,2.877683172,88.07243099,2.882216104
"115",29.5,6660.159815,33721.40736,40381.56718,2388.037152,2.879426798,90.07744016,2.882540991
"116",29.75,6663.751613,33726.08761,40389.83923,2387.931225,2.881108784,92.09853709,2.882860464
"117",30,6667.366545,33730.74923,40398.11577,2387.825285,2.882731242,94.13451918,2.883178733
"118",30.25,6671.004532,33735.39232,40406.39685,2387.719331,2.884296287,96.18414424,2.883497002
"119",30.5,6674.665577,33740.0169,40414.68248,2387.613363,2.885805983,98.24613323,2.883815271
"120",30.75,6678.349686,33744.623,40422.97269,2387.507381,2.88726232,100.3191733,2.884133541
"121",31,6682.056864,33749.21064,40431.2675,2387.401386,2.888667213,102.4019207,2.88445181
"122",31.25,6685.787115,33753.77983,40439.56694,2387.295377,2.890022513,104.4930044,2.884770079
"123",31.5,6689.540444,33758.3306,40447.87105,2387.189354,2.891330002,106.5910295,2.885088348
"124",31.75,6693.316856,33762.86298,40456.17984,2387.083318,2.892591399,108.6945807,2.885406618
"125",32,6697.116357,33767.37698,40464.49334,2386.977267,2.893808361,110.802226,2.885724887
"126",32.25,6700.938949,33771.87263,40472.81158,2386.871203,2.894982485,112.9125209,2.886043156
"127",32.5,6704.784639,33776.34995,40481.13459,2386.765126,2.896115311,115.024012,2.886361425
"128",32.75,6708.653431,33780.80896,40489.46239,2386.659034,2.897208325,117.1352411,2.886679695
"129",33,6712.545329,33785.24968,40497.79501,2386.552929,2.898262958,119.2447492,2.886997964
"130",33.25,6716.460338,33789.67213,40506.13247,2386.446811,2.899280589,121.3510806,2.887316233
"131",33.5,6720.398462,33794.07635,40514.47481,2386.340678,2.900262551,123.4527868,2.887634502
"132",33.75,6724.359707,33798.46234,40522.82205,2386.234532,2.901210125,125.5484307,2.887952771
"133",34,6728.344077,33802.83014,40531.17422,2386.128372,2.902124548,127.6365901,2.888271041
"134",34.25,6732.351576,33807.17976,40539.53134,2386.022199,2.903007013,129.715862,2.88858931
"135",34.5,6736.382209,33811.51124,40547.89345,2385.916011,2.903858669,131.7848661,2.888907579
"136",34.75,6740.43598,33815.82458,40556.26056,2385.809811,2.904680624,133.8422486,2.889225848
"137",35,6744.512894,33820.11982,40564.63271,2385.703596,2.905473947,135.8866852,2.889544118
"138",35.25,6748.612955,33824.39697,40573.00993,2385.597368,2.906239668,137.9168852,2.889861534
"139",35.5,6752.736106,33828.65613,40581.39224,2385.491126,2.906978763,139.9315937,2.890170425
"140",35.75,6756.881747,33832.89792,40589.77966,2385.384871,2.907692033,141.9295954,2.890479315
"141",36,6761.049881,33837.12235,40598.17224,2385.278602,2.908380407,143.9097167,2.890788205
"142",36.25,6765.240513,33841.32947,40606.56998,2385.172321,2.90904478,145.8708284,2.891097096
"143",36.5,6769.453647,33845.51927,40614.97292,2385.066027,2.909686016,147.8118482,2.891405666
"144",36.75,6773.689264,33849.69183,40623.38109,2384.959719,2.910304943,149.7317422,2.891713971
"145",37,6777.947349,33853.84716,40631.79451,2384.853398,2.910902358,151.6295275,2.892022275
"146",37.25,6782.227906,33857.9853,40640.21321,2384.747064,2.911479035,153.5042727,2.892330579
"147",37.5,6786.53094,33862.10627,40648.63721,2384.640718,2.912035721,155.3551003,2.892638883
"148",37.75,6790.856455,33866.21009,40657.06655,2384.534358,2.912573135,157.1811868,2.892947187
"149",38,6795.204455,33870.29679,40665.50125,2384.427985,2.91309197,158.9817642,2.893255492
"150",38.25,6799.574943,33874.36639,40673.94133,2384.321598,2.913592897,160.7561201,2.893563796
"151",38.5,6803.967925,33878.4189,40682.38683,2384.215199,2.914076558,162.5035983,2.8938721
"152",38.75,6808.383403,33882.45436,40690.83777,2384.108787,2.914543576,164.2235987,2.894180404
"153",39,6812.821382,33886.47279,40699.29417,2384.002362,2.914994549,165.9155773,2.894488708
"154",39.25,6817.281865,33890.47421,40707.75607,2383.895923,2.915430054,167.5790459,2.894797013
"155",39.5,6821.764857,33894.45864,40716.2235,2383.789472,2.915850649,169.2135713,2.895105317
"156",39.75,6826.270362,33898.42611,40724.69647,2383.683007,2.91625687,170.8187751,2.895413621
"157",40,6830.798383,33902.37663,40733.17502,2383.576529,2.916649234,172.3943321,2.895721925
"158",40.25,6835.348925,33906.31024,40741.65917,2383.470039,2.91702824,173.9399696,2.896030229
"159",40.5,6839.92199,33910.22696,40750.14895,2383.363535,2.917394367,175.4554664,2.896338534
"160",40.75,6844.517584,33914.1268,40758.64439,2383.257018,2.917748081,176.940651,2.896646838
"161",41,6849.135709,33918.0098,40767.14551,2383.150488,2.918089826,178.3954003,2.896951248
"162",41.25,6853.776093,33921.87625,40775.65235,2383.043945,2.918419963,179.8196381,2.897248844
"163",41.5,6858.438252,33925.72667,40784.16492,2382.93739,2.918738783,181.2133333,2.897546439
"164",41.75,6863.12219,33929.56107,40792.68326,2382.830823,2.919046694,182.5764982,2.897844035
"165",42,6867.827911,33933.37948,40801.20739,2382.724243,2.919344088,183.9091864,2.89814163
"166",42.25,6872.555419,33937.18192,40809.73734,2382.61765,2.919631344,185.2114915,2.89843653
"167",42.5,6877.304524,33940.9686,40818.27313,2382.511045,2.919908777,186.4835445,2.898730831
"168",42.75,6882.075188,33944.7396,40826.81478,2382.404428,2.92017673,187.7255122,2.899025132
"169",43,6886.867414,33948.49493,40835.36234,2382.297799,2.920435543,188.9375952,2.899319432
"170",43.25,6891.681205,33952.23461,40843.91582,2382.191158,2.920685546,190.1200258,2.899613733
"171",43.5,6896.516565,33955.95867,40852.47524,2382.084504,2.920927054,191.273066,2.899908034
"172",43.75,6901.373498,33959.66714,40861.04064,2381.977838,2.921160375,192.3970057,2.900202334
"173",44,6906.252007,33963.36003,40869.61204,2381.87116,2.921385801,193.4921605,2.900496635
"174",44.25,6911.152095,33967.03737,40878.18946,2381.76447,2.921603618,194.5588698,2.900790936
"175",44.5,6916.073765,33970.69918,40886.77294,2381.657767,2.921814097,195.5974951,2.901085237
"176",44.75,6921.017022,33974.34548,40895.3625,2381.551052,2.922017504,196.6084179,2.901379537
"177",45,6925.981868,33977.97629,40903.95816,2381.444325,2.922214092,197.5920381,2.901673838
"178",45.25,6930.968308,33981.59165,40912.55996,2381.337586,2.922404105,198.5487718,2.901968139
"179",45.5,6935.976343,33985.19156,40921.16791,2381.230835,2.922587781,199.4790504,2.902262439
"180",45.75,6941.005978,33988.77607,40929.78204,2381.124071,2.922765347,200.3833179,2.90255674
"181",46,6946.057216,33992.34517,40938.40239,2381.017295,2.922937022,201.2620301,2.902851041
"182",46.25,6951.13006,33995.89891,40947.02897,2380.910507,2.923103017,202.115653,2.903145341
"183",46.5,6956.224514,33999.43731,40955.66182,2380.803707,2.923263536,202.9446608,2.903439642
"184",46.75,6961.34058,34002.96038,40964.30096,2380.696894,2.923418776,203.749535,2.903729224
"185",47,6966.477924,34006.46849,40972.94641,2380.59007,2.92356884,204.530763,2.90401611
"186",47.25,6971.636358,34009.96185,40981.5982,2380.483234,2.923713864,205.2888367,2.904302997
"187",47.5,6976.815883,34013.44048,40990.25636,2380.376386,2.923854029,206.0242514,2.904589883
"188",47.75,6982.016503,34016.90441,40998.92092,2380.269526,2.92398951,206.7375046,2.904876297
"189",48,6987.238188,34020.3537,41007.59189,2380.162655,2.924120465,207.4290951,2.905157993
"190",48.25,6992.480602,34023.7887,41016.2693,2380.055772,2.924246971,208.0995217,2.905439688
"191",48.5,6997.74375,34027.20944,41024.95319,2379.948877,2.924369188,208.7492828,2.905721384
"192",48.75,7003.027633,34030.61593,41033.64357,2379.841972,2.924487268,209.3788748,2.90600308
"193",49,7008.332255,34034.00821,41042.34046,2379.735054,2.924601361,209.9887921,2.906284776
"194",49.25,7013.657619,34037.38629,41051.04391,2379.628126,2.924711609,210.5795258,2.906566472
"195",49.5,7019.003728,34040.75019,41059.75392,2379.521185,2.924818149,211.1515631,2.906848167
"196",49.75,7024.370585,34044.09994,41068.47053,2379.414234,2.924921114,211.705387,2.907129863
"197",50,7029.758193,34047.43557,41077.19376,2379.307271,2.925020633,212.2414752,2.907411559
"198",50.25,7035.166555,34050.75708,41085.92364,2379.200296,2.925116828,212.7603003,2.907693255
"199",50.5,7040.595673,34054.06451,41094.66018,2379.09331,2.925209817,213.2623284,2.907974951
"200",50.75,7046.045551,34057.35788,41103.40343,2378.986313,2.925299717,213.7480195,2.908256646
"201",51,7051.516192,34060.63721,41112.1534,2378.879304,2.925386635,214.2178268,2.908538342
"202",51.25,7057.007598,34063.90251,41120.91011,2378.772283,2.92547068,214.6721962,2.908820038
"203",51.5,7062.519772,34067.15383,41129.6736,2378.665252,2.925551953,215.1115663,2.909101734
"204",51.75,7068.052718,34070.39117,41138.44389,2378.558209,2.925630553,215.536368,2.90938343
"205",52,7073.606438,34073.61457,41147.221,2378.451154,2.925706575,215.9470243,2.909665125
"206",52.25,7079.180934,34076.82403,41156.00497,2378.344088,2.925780112,216.34395,2.909946821
"207",52.5,7084.77621,34080.01959,41164.7958,2378.23701,2.92585125,216.7275517,2.910226766
"208",52.75,7090.392144,34083.2014,41173.59354,2378.129922,2.925920045,217.0982278,2.910506537
"209",53,7096.028724,34086.36948,41182.3982,2378.022822,2.925986575,217.456368,2.910786307
"210",53.25,7101.685955,34089.52386,41191.20982,2377.91571,2.926050921,217.8023536,2.911066077
"211",53.5,7107.363838,34092.66457,41200.02841,2377.808587,2.926113161,218.1365571,2.911344847
"212",53.75,7113.062305,34095.7917,41208.854,2377.701453,2.92617335,218.4593426,2.911621866
"213",54,7118.781233,34098.90539,41217.68662,2377.594308,2.926231531,218.7710655,2.911898885
"214",54.25,7124.520625,34102.00567,41226.52629,2377.487152,2.926287774,219.0720725,2.912175904
"215",54.5,7130.280482,34105.09256,41235.37304,2377.379985,2.926342147,219.3627019,2.912452924
"216",54.75,7136.060808,34108.16608,41244.22689,2377.272806,2.926394718,219.6432833,2.912729943
"217",55,7141.861606,34111.22626,41253.08787,2377.165616,2.926445548,219.9141379,2.913006962
"218",55.25,7147.682879,34114.27312,41261.956,2377.058416,2.9264947,220.1755783,2.913283981
"219",55.5,7153.524628,34117.30667,41270.8313,2376.951204,2.926542234,220.4279091,2.913561001
"220",55.75,7159.386856,34120.32695,41279.71381,2376.84398,2.926588205,220.6714264,2.91383802
"221",56,7165.269567,34123.33398,41288.60355,2376.736746,2.926632668,220.9064183,2.914115039
"222",56.25,7171.172762,34126.32777,41297.50053,2376.629501,2.926675678,221.1331649,2.914392058
"223",56.5,7177.096445,34129.30836,41306.4048,2376.522244,2.926717284,221.3519384,2.914669078
"224",56.75,7183.040618,34132.27575,41315.31637,2376.414977,2.926757536,221.5630031,2.914946097
"225",57,7189.005283,34135.22998,41324.23527,2376.307698,2.926796481,221.7666159,2.915223116
"226",57.25,7194.990443,34138.17107,41333.16152,2376.200408,2.926834165,221.963026,2.915500135
